% Model:              cavity-set1-0.01.mph
% freq (Hz)                                       V^2 (kg^2*m^6/(s^6*A^2))                          V^2 (kg^2*m^6/(s^6*A^2))                          V^2 (kg^2*m^6/(s^6*A^2))                          V^2 (kg^2*m^6/(s^6*A^2))                          V^2 (kg^2*m^6/(s^6*A^2))                          V^2 (kg^2*m^6/(s^6*A^2))                          V^2 (kg^2*m^6/(s^6*A^2))
1.0771663222872886E15                             8.333315562189862E14                              8.333272544527638E14                              8.333098223834882E14                              8.332400846525895E14                              8.329615996874454E14                              8.318537237408552E14                              8.274950033423281E14
1.0772758571990526E15                             8.333315556757174E14                              8.333272531521775E14                              8.33309817773895E14                               8.3324006677075E14                                8.329615288797486E14                              8.318534434323508E14                              8.274939111850272E14
1.0773853921108166E15                             8.333315551320181E14                              8.333272518508758E14                              8.333098131619965E14                              8.33240048880206E14                               8.329614580378401E14                              8.31853162989083E14                               8.274928185081091E14
1.0774949270225806E15                             8.333315545878951E14                              8.333272505488588E14                              8.333098085477952E14                              8.33240030980953E14                               8.329613871617004E14                              8.31852882410959E14                               8.27491725311219E14
1.0776044619343446E15                             8.333315540433474E14                              8.333272492461234E14                              8.333098039312932E14                              8.33240013072986E14                               8.329613162513026E14                              8.318526016978838E14                              8.274906315940091E14
1.0777139968461088E15                             8.333315534983668E14                              8.333272479426736E14                              8.333097993124822E14                              8.33239995156294E14                               8.329612453066298E14                              8.318523208497636E14                              8.274895373561192E14
1.0778235317578728E15                             8.333315529529586E14                              8.333272466385008E14                              8.333097946913618E14                              8.33239977230881E14                               8.329611743276525E14                              8.318520398665066E14                              8.27488442597194E14
1.0779330666696368E15                             8.333315524071208E14                              8.333272453336124E14                              8.333097900679329E14                              8.332399592967294E14                              8.329611033143458E14                              8.31851758748015E14                               8.274873473168855E14
1.0780426015814008E15                             8.333315518608604E14                              8.333272440280019E14                              8.333097854421891E14                              8.332399413538394E14                              8.329610322666876E14                              8.31851477494207E14                               8.274862515148281E14
1.0781521364931648E15                             8.333315513141622E14                              8.333272427216738E14                              8.333097808141366E14                              8.332399234021964E14                              8.329609611846588E14                              8.318511961049772E14                              8.274851551906771E14
1.0782616714049288E15                             8.333315507670379E14                              8.333272414146258E14                              8.333097761837638E14                              8.332399054418138E14                              8.329608900682292E14                              8.31850914580237E14                               8.274840583440674E14
1.0783712063166928E15                             8.333315502194812E14                              8.33327240106855E14                               8.333097715510784E14                              8.332398874726649E14                              8.32960818917381E14                               8.31850632919894E14                               8.274829609746494E14
1.0784807412284568E15                             8.333315496714966E14                              8.333272387983622E14                              8.333097669160706E14                              8.332398694947518E14                              8.32960747732081E14                               8.318503511238531E14                              8.274818630820591E14
1.0785902761402208E15                             8.333315491230756E14                              8.333272374891485E14                              8.333097622787455E14                              8.332398515080718E14                              8.329606765123135E14                              8.318500691920181E14                              8.274807646659422E14
1.0786998110519848E15                             8.333315485742258E14                              8.333272361792094E14                              8.333097576390974E14                              8.332398335126129E14                              8.329606052580534E14                              8.318497871243029E14                              8.274796657259471E14
1.0788093459637488E15                             8.333315480249405E14                              8.333272348685476E14                              8.333097529971262E14                              8.332398155083711E14                              8.329605339692728E14                              8.318495049206059E14                              8.274785662617066E14
1.0789188808755129E15                             8.333315474752211E14                              8.333272335571632E14                              8.333097483528265E14                              8.332397974953384E14                              8.329604626459484E14                              8.318492225808354E14                              8.274774662728696E14
1.0790284157872769E15                             8.333315469250714E14                              8.333272322450518E14                              8.333097437062054E14                              8.332397794735116E14                              8.329603912880642E14                              8.318489401048974E14                              8.274763657590751E14
1.0791379506990409E15                             8.333315463744846E14                              8.33327230932216E14                               8.333097390572504E14                              8.332397614428852E14                              8.329603198955849E14                              8.318486574926968E14                              8.274752647199644E14
1.0792474856108049E15                             8.333315458234639E14                              8.33327229618656E14                               8.333097344059688E14                              8.332397434034505E14                              8.329602484684909E14                              8.318483747441428E14                              8.274741631551789E14
1.0793570205225689E15                             8.333315452720049E14                              8.333272283043675E14                              8.333097297523559E14                              8.332397253552005E14                              8.329601770067575E14                              8.31848091859138E14                               8.274730610643524E14
1.0794665554343329E15                             8.333315447201129E14                              8.333272269893478E14                              8.333097250964061E14                              8.33239707298133E14                               8.329601055103659E14                              8.318478088375884E14                              8.274719584471395E14
1.0795760903460969E15                             8.333315441677875E14                              8.333272256736064E14                              8.333097204381221E14                              8.332396892322391E14                              8.329600339792885E14                              8.318475256793991E14                              8.27470855303172E14
1.0796856252578609E15                             8.33331543615018E14                               8.333272243571375E14                              8.333097157775042E14                              8.332396711575091E14                              8.329599624134915E14                              8.31847242384478E14                               8.274697516320842E14
1.0797951601696249E15                             8.333315430618136E14                              8.333272230399364E14                              8.33309711114543E14                               8.332396530739411E14                              8.32959890812968E14                               8.318469589527251E14                              8.274686474335235E14
1.0799046950813889E15                             8.333315425081728E14                              8.333272217220062E14                              8.33309706449243E14                               8.332396349815325E14                              8.329598191776819E14                              8.318466753840504E14                              8.27467542707129E14
1.080014229993153E15                              8.333315419540884E14                              8.333272204033454E14                              8.333097017815968E14                              8.332396168802662E14                              8.329597475076161E14                              8.318463916783582E14                              8.2746643745253E14
1.080123764904917E15                              8.333315413995725E14                              8.333272190839552E14                              8.333096971116134E14                              8.332395987701446E14                              8.329596758027385E14                              8.318461078355524E14                              8.274653316693794E14
1.080233299816681E15                              8.333315408446104E14                              8.333272177638304E14                              8.333096924392786E14                              8.332395806511649E14                              8.32959604063031E14                               8.318458238555408E14                              8.274642253573028E14
1.080342834728445E15                              8.333315402892102E14                              8.333272164429782E14                              8.333096877645991E14                              8.332395625233126E14                              8.329595322884665E14                              8.318455397382245E14                              8.274631185159408E14
1.080452369640209E15                              8.333315397333726E14                              8.333272151213918E14                              8.333096830875692E14                              8.332395443865822E14                              8.329594604790229E14                              8.31845255483507E14                               8.274620111449332E14
1.080561904551973E15                              8.333315391770888E14                              8.333272137990728E14                              8.333096784081911E14                              8.332395262409702E14                              8.329593886346738E14                              8.318449710912965E14                              8.274609032439122E14
1.080671439463737E15                              8.333315386203665E14                              8.333272124760166E14                              8.3330967372646E14                                8.332395080864724E14                              8.329593167553932E14                              8.318446865615011E14                              8.274597948125252E14
1.080780974375501E15                              8.33331538063201E14                               8.333272111522312E14                              8.333096690423706E14                              8.332394899230774E14                              8.329592448411622E14                              8.318444018940175E14                              8.274586858503992E14
1.080890509287265E15                              8.333315375055898E14                              8.333272098277051E14                              8.333096643559266E14                              8.332394717507771E14                              8.32959172891953E14                               8.318441170887531E14                              8.274575763571704E14
1.081000044199029E15                              8.33331536947534E14                               8.333272085024498E14                              8.333096596671255E14                              8.332394535695774E14                              8.329591009077392E14                              8.318438321456158E14                              8.274564663324758E14
1.081109579110793E15                              8.33331536389039E14                               8.333272071764505E14                              8.333096549759652E14                              8.332394353794578E14                              8.329590288884982E14                              8.318435470645044E14                              8.274553557759471E14
1.0812191140225571E15                             8.333315358300994E14                              8.333272058497225E14                              8.333096502824504E14                              8.332394171804249E14                              8.32958956834209E14                               8.318432618453315E14                              8.274542446872301E14
1.0813286489343211E15                             8.333315352707148E14                              8.33327204522251E14                               8.333096455865669E14                              8.332393989724602E14                              8.329588847448431E14                              8.318429764879888E14                              8.27453133065946E14
1.0814381838460851E15                             8.333315347108832E14                              8.333272031940471E14                              8.33309640888316E14                               8.332393807555635E14                              8.329588126203738E14                              8.318426909923896E14                              8.274520209117384E14
1.0815477187578491E15                             8.333315341506018E14                              8.333272018650985E14                              8.33309636187701E14                               8.332393625297308E14                              8.329587404607825E14                              8.318424053584338E14                              8.27450908224243E14
1.0816572536696131E15                             8.333315335898796E14                              8.333272005354144E14                              8.333096314847194E14                              8.332393442949504E14                              8.32958668266038E14                               8.318421195860241E14                              8.274497950030818E14
1.0817667885813771E15                             8.333315330287055E14                              8.333271992049892E14                              8.333096267793675E14                              8.332393260512181E14                              8.329585960361255E14                              8.318418336750664E14                              8.27448681247894E14
1.0818763234931411E15                             8.333315324670869E14                              8.333271978738266E14                              8.333096220716422E14                              8.332393077985276E14                              8.329585237710114E14                              8.318415476254646E14                              8.27447566958317E14
1.0819858584049051E15                             8.333315319050165E14                              8.333271965419182E14                              8.333096173615459E14                              8.332392895368754E14                              8.329584514706736E14                              8.318412614371229E14                              8.274464521339791E14
1.0820953933166691E15                             8.333315313424995E14                              8.333271952092708E14                              8.333096126490744E14                              8.332392712662558E14                              8.329583791350885E14                              8.318409751099451E14                              8.274453367745168E14
1.0822049282284331E15                             8.333315307795325E14                              8.333271938758814E14                              8.333096079342279E14                              8.332392529866534E14                              8.329583067642294E14                              8.318406886438306E14                              8.274442208795525E14
1.0823144631401971E15                             8.333315302161151E14                              8.333271925417475E14                              8.333096032169991E14                              8.332392346980705E14                              8.329582343580704E14                              8.318404020386849E14                              8.274431044487225E14
1.0824239980519612E15                             8.333315296522472E14                              8.333271912068708E14                              8.333095984973916E14                              8.332392164004945E14                              8.32958161916594E14                               8.318401152944145E14                              8.274419874816654E14
1.0825335329637252E15                             8.33331529087929E14                               8.333271898712491E14                              8.333095937754012E14                              8.332391980939282E14                              8.3295808943977E14                                8.318398284109165E14                              8.27440869977999E14
1.0826430678754892E15                             8.333315285231599E14                              8.333271885348849E14                              8.333095890510299E14                              8.332391797783544E14                              8.329580169275741E14                              8.318395413880965E14                              8.274397519373644E14
1.0827526027872532E15                             8.33331527957939E14                               8.333271871977716E14                              8.333095843242704E14                              8.332391614537749E14                              8.329579443799814E14                              8.318392542258594E14                              8.274386333593861E14
1.0828621376990172E15                             8.333315273922618E14                              8.333271858599125E14                              8.33309579595128E14                               8.332391431201794E14                              8.329578717969675E14                              8.318389669241055E14                              8.274375142436992E14
1.0829716726107812E15                             8.333315268261358E14                              8.333271845213094E14                              8.333095748635898E14                              8.332391247775641E14                              8.329577991785045E14                              8.318386794827384E14                              8.274363945899255E14
1.0830812075225452E15                             8.333315262595518E14                              8.333271831819609E14                              8.333095701296652E14                              8.332391064259201E14                              8.329577265245744E14                              8.318383919016589E14                              8.274352743977031E14
1.0831907424343092E15                             8.333315256925132E14                              8.333271818418614E14                              8.333095653933496E14                              8.3323908806524E14                                8.329576538351475E14                              8.318381041807708E14                              8.274341536666532E14
1.0833002773460732E15                             8.333315251250186E14                              8.33327180501015E14                               8.333095606546375E14                              8.332390696955236E14                              8.329575811101992E14                              8.318378163199784E14                              8.274330323964045E14
1.0834098122578372E15                             8.333315245570734E14                              8.333271791594166E14                              8.333095559135302E14                              8.332390513167565E14                              8.32957508349707E14                               8.318375283191838E14                              8.274319105865908E14
1.0835193471696012E15                             8.333315239886704E14                              8.333271778170699E14                              8.33309551170025E14                               8.332390329289346E14                              8.32957435553643E14                               8.318372401782864E14                              8.274307882368372E14
1.0836288820813654E15                             8.33331523419808E14                               8.333271764739729E14                              8.333095464241191E14                              8.332390145320578E14                              8.329573627219829E14                              8.318369518971918E14                              8.274296653467722E14
1.0837384169931294E15                             8.333315228504948E14                              8.333271751301258E14                              8.33309541675813E14                               8.332389961261088E14                              8.329572898546991E14                              8.318366634757972E14                              8.274285419160186E14
1.0838479519048934E15                             8.333315222807185E14                              8.333271737855249E14                              8.333095369251038E14                              8.332389777110906E14                              8.32957216951773E14                               8.318363749140082E14                              8.274274179442078E14
1.0839574868166574E15                             8.333315217104832E14                              8.333271724401745E14                              8.333095321719892E14                              8.332389592869946E14                              8.329571440131776E14                              8.318360862117241E14                              8.274262934309606E14
1.0840670217284214E15                             8.333315211397926E14                              8.333271710940711E14                              8.333095274164681E14                              8.3323894085381E14                                8.329570710388838E14                              8.31835797368854E14                               8.274251683759074E14
1.0841765566401854E15                             8.333315205686378E14                              8.333271697472152E14                              8.333095226585386E14                              8.332389224115331E14                              8.3295699802887E14                                8.318355083852885E14                              8.274240427786742E14
1.0842860915519494E15                             8.33331519997024E14                               8.333271683996015E14                              8.333095178982015E14                              8.332389039601628E14                              8.32956924983107E14                               8.31835219260936E14                               8.274229166388898E14
1.0843956264637134E15                             8.333315194249535E14                              8.333271670512338E14                              8.333095131354465E14                              8.332388854996835E14                              8.329568519015771E14                              8.318349299957005E14                              8.274217899561682E14
1.0845051613754774E15                             8.33331518852417E14                               8.333271657021152E14                              8.333095083702844E14                              8.332388670300916E14                              8.32956778784248E14                               8.3183464058948E14                                8.274206627301474E14
1.0846146962872414E15                             8.3333151827942E14                                8.333271643522361E14                              8.333095036027059E14                              8.332388485513815E14                              8.329567056311035E14                              8.318343510421698E14                              8.274195349604392E14
1.0847242311990054E15                             8.33331517705964E14                               8.333271630016E14                                 8.333094988327062E14                              8.332388300635488E14                              8.329566324420991E14                              8.318340613536826E14                              8.274184066466791E14
1.0848337661107695E15                             8.333315171320418E14                              8.33327161650211E14                               8.333094940602922E14                              8.332388115665835E14                              8.329565592172344E14                              8.318337715239114E14                              8.2741727778848E14
1.0849433010225335E15                             8.333315165576591E14                              8.333271602980579E14                              8.333094892854565E14                              8.332387930604821E14                              8.329564859564676E14                              8.318334815527588E14                              8.274161483854695E14
1.0850528359342975E15                             8.333315159828112E14                              8.333271589451491E14                              8.333094845081964E14                              8.332387745452405E14                              8.329564126597771E14                              8.318331914401275E14                              8.274150184372735E14
1.0851623708460615E15                             8.333315154074952E14                              8.333271575914831E14                              8.33309479728511E14                               8.332387560208448E14                              8.329563393271392E14                              8.318329011859208E14                              8.274138879435115E14
1.0852719057578255E15                             8.333315148317208E14                              8.333271562370542E14                              8.333094749464022E14                              8.332387374872894E14                              8.329562659585298E14                              8.318326107900341E14                              8.274127569038096E14
1.0853814406695895E15                             8.333315142554744E14                              8.33327154881869E14                               8.333094701618654E14                              8.332387189445746E14                              8.329561925539212E14                              8.31832320252369E14                               8.274116253177818E14
1.0854909755813535E15                             8.333315136787636E14                              8.333271535259194E14                              8.333094653748952E14                              8.332387003926894E14                              8.32956119113287E14                               8.318320295728252E14                              8.274104931850581E14
1.0856005104931175E15                             8.333315131015875E14                              8.333271521692059E14                              8.333094605854978E14                              8.332386818316252E14                              8.329560456366059E14                              8.318317387513104E14                              8.274093605052529E14
1.0857100454048815E15                             8.333315125239395E14                              8.333271508117365E14                              8.333094557936669E14                              8.332386632613798E14                              8.329559721238478E14                              8.318314477877148E14                              8.274082272779896E14
1.0858195803166455E15                             8.333315119458282E14                              8.333271494535005E14                              8.333094509993961E14                              8.332386446819408E14                              8.32955898574988E14                               8.318311566819479E14                              8.274070935028921E14
1.0859291152284095E15                             8.333315113672469E14                              8.333271480944994E14                              8.333094462026925E14                              8.33238626093312E14                               8.329558249900038E14                              8.318308654339031E14                              8.274059591795729E14
1.0860386501401736E15                             8.333315107881959E14                              8.333271467347326E14                              8.333094414035498E14                              8.332386074954768E14                              8.329557513688692E14                              8.318305740434844E14                              8.274048243076594E14
1.0861481850519376E15                             8.333315102086726E14                              8.333271453742076E14                              8.333094366019681E14                              8.332385888884341E14                              8.329556777115551E14                              8.31830282510589E14                               8.274036888867675E14
1.0862577199637016E15                             8.333315096286815E14                              8.333271440129122E14                              8.333094317979419E14                              8.33238570272174E14                               8.329556040180401E14                              8.318299908351204E14                              8.27402552916514E14
1.0863672548754656E15                             8.333315090482206E14                              8.333271426508505E14                              8.333094269914742E14                              8.332385516466904E14                              8.329555302882978E14                              8.318296990169754E14                              8.274014163965229E14
1.0864767897872296E15                             8.33331508467285E14                               8.333271412880232E14                              8.333094221825549E14                              8.332385330119794E14                              8.329554565222992E14                              8.318294070560518E14                              8.274002793264044E14
1.0865863246989936E15                             8.333315078858815E14                              8.333271399244306E14                              8.333094173711918E14                              8.332385143680338E14                              8.329553827200239E14                              8.318291149522582E14                              8.273991417057858E14
1.0866958596107576E15                             8.333315073040011E14                              8.333271385600652E14                              8.333094125573776E14                              8.332384957148445E14                              8.329553088814429E14                              8.318288227054839E14                              8.273980035342846E14
